,t_peak,As,Pw,Pi_over_As,Tc,Ab_over_Aa,start_idx,peak_idx,end_idx,label
0,20.478582,55.21326423607864,0.23000100000000145,0.01503247474105415,0.20999000000000123,0.2884239252399829,66,87,151,esther
1,21.308574,52.449522395808565,0.23999299999999835,0.017350415379048783,0.18997799999999998,0.22165027086533237,151,170,241,esther
2,22.218595,61.378643675713604,0.22000699999999895,0.01515152411828176,0.2000150000000005,0.21764205460700814,241,261,334,esther
3,23.148574999999997,62.43513236056299,0.2600060000000006,0.015856312985496696,0.20000899999999788,0.30015089243543297,334,354,428,esther
4,24.138565999999997,60.88879249860884,0.23998999999999882,0.014617090657863433,0.2199939999999998,0.2210216102696107,431,453,523,esther
5,25.028582999999998,51.36080125936941,0.25999000000000194,0.015186425851518703,0.1899729999999984,0.24558037286628048,523,542,603,esther
6,25.80857,54.30785992815882,0.23999600000000143,0.014362653970011508,0.16999799999999965,0.4029746727493714,603,620,679,esther
7,26.588575,62.66321527956377,0.23999799999999993,0.01276664461647728,0.18998200000000054,0.25862665021815257,679,698,760,esther
8,27.388574,63.29684065545567,0.22000199999999737,0.013428742907198152,0.17998799999999804,0.5078502795494839,760,778,844,esther
9,28.238571,63.70231733023284,0.24997899999999973,0.013029431813245562,0.18997600000000148,0.3116569072884264,844,863,926,esther
10,29.068576,59.60464071166857,0.2399880000000003,0.012918390091885243,0.19999200000000172,0.4341836232414355,926,946,1003,esther
11,29.838572,49.93226873471073,0.25000299999999953,0.016422426234159165,0.1999999999999993,0.2717020485993128,1003,1023,1083,esther
12,30.658580999999998,64.77693506612505,0.27000699999999966,0.01389386514013465,0.2200160000000011,0.22512124432328268,1083,1105,1176,esther
13,31.558583,60.80071384871208,0.23996100000000098,0.015953562690293112,0.19000000000000128,0.17189452275135098,1176,1195,1269,esther
14,32.528571,62.78178482523903,0.26999800000000107,0.014972750497881708,0.19000400000000184,0.16532260073543267,1273,1292,1366,esther
15,33.468587,57.96015958937795,0.2800019999999961,0.01414728678818665,0.19999599999999873,0.3553733424352511,1366,1386,1449,esther
16,34.288565999999996,47.88679733492081,0.20997799999999955,0.016706400188024235,0.1899879999999996,0.6555361319287498,1449,1468,1530,esther
17,35.088581999999995,47.925498421307765,0.27000400000000013,0.016275469753971518,0.17999499999999813,0.34846336632723746,1530,1548,1593,esther
18,35.868592,39.3754915753762,0.21997299999999598,0.0213327876400479,0.26000300000000465,0.2722817716347551,1600,1626,1688,esther
19,36.708580999999995,52.81638859665466,0.24999800000000505,0.015535329502857619,0.21999499999999728,0.3858660388355545,1688,1710,1772,esther
20,37.529101,54.77697178953734,0.2400170000000017,0.013500052592196141,0.2005229999999969,0.34176601992660277,1772,1792,1848,esther
21,38.268592999999996,45.78399536261855,0.2299859999999967,0.01572542968995324,0.18001499999999737,0.29607046673747217,1848,1866,1918,esther
22,38.988566,55.08054631894237,0.21997999999999962,0.013616749471892288,0.1999879999999976,0.3933948664042593,1918,1938,1994,esther
23,39.738583999999996,54.30065711820269,0.22999099999999828,0.01510123529840527,0.1900100000000009,0.30569692432783563,1994,2013,2076,esther
24,40.558591,50.74290429223117,0.26999800000000107,0.017342759786312226,0.19000799999999884,0.13184680677168062,2076,2095,2163,esther
25,41.438613,52.31896196474523,0.2400209999999987,0.01586338812607297,0.20004399999999833,0.2849708936454719,2163,2183,2247,esther
26,42.268569,56.995293069281935,0.20000100000000032,0.013334452005995633,0.1899930000000012,0.3114863376059863,2247,2266,2323,esther
27,43.028569999999995,55.033257290917234,0.24999199999999888,0.014173338784523225,0.18998899999999708,0.29311419890786233,2323,2342,2389,esther
28,43.808575,53.2241017758881,0.2500180000000043,0.015782286069138365,0.25998899999999736,0.385875605956325,2394,2420,2483,esther
29,44.648573,56.99143685785488,0.2500080000000011,0.015440863549287928,0.20874299999999835,0.41325524312705547,2483,2504,2571,esther
30,45.528569999999995,58.703464947257956,0.2699930000000066,0.014649935924100375,0.20996499999999685,0.22996075738585428,2571,2592,2657,esther
31,46.388571999999996,57.79662291486863,0.2400260000000003,0.013495719311298065,0.20998199999999656,0.33757571104904016,2657,2678,2739,esther
32,47.168579,53.186303852357085,0.23000700000000052,0.014665354489855748,0.17000400000000582,0.24682086714406093,2739,2756,2815,esther
33,47.948575,61.32131356156136,0.24000300000000152,0.013535147109442782,0.18998700000000213,0.30684194449619184,2815,2834,2899,esther
34,48.778568,66.91039672921748,0.2499949999999984,0.013450839391107607,0.17997700000000094,0.12238349243332143,2899,2917,2987,esther
35,49.678568999999996,63.43244083381459,0.2700139999999962,0.012927328496602107,0.19998700000000014,0.32017644820319185,2987,3007,3069,esther
36,50.498580999999994,65.14910833580434,0.24000600000000105,0.011529014274892444,0.20001299999999844,0.5323194084681537,3069,3089,3147,esther
37,51.249686,67.28080466884849,0.22998800000000585,0.011576555955797421,0.17111899999999736,0.25665298018912014,3147,3164,3224,esther
38,52.028566,61.40590463714649,0.23998100000000022,0.012377034496780842,0.1799919999999986,0.2681739240436751,3224,3242,3293,esther
39,52.788588999999995,63.429539623962995,0.25,0.014031380414808668,0.25,0.2727775246146181,3293,3318,3376,esther
40,53.678593,72.23339585814706,0.25998099999999624,0.013428553212490181,0.26001099999999866,0.3631523955230718,3381,3407,3481,esther
41,54.648582999999995,65.68225630687732,0.2499820000000028,0.013702102372901693,0.19999999999999574,0.2920654285890675,3484,3504,3565,esther
42,55.548567999999996,56.715275074266614,0.21002099999999757,0.014282113574152964,0.19999099999999714,0.13915894712963892,3574,3594,3652,esther
43,56.358582,56.131669713405856,0.24003299999999683,0.014786501171935992,0.2300159999999991,0.4655341723178462,3652,3675,3726,esther
44,57.188573,56.97924350769882,0.22996600000000456,0.01526906898794546,0.2599820000000008,0.4385786248979945,3732,3758,3827,esther
45,58.058592999999995,63.027398211274175,0.2300030000000035,0.013485833528314057,0.18001899999999438,0.21662587799307856,3827,3845,3912,esther
46,58.90857,55.33844688665298,0.2500080000000011,0.01409502875275179,0.18000200000000177,0.2684697984800645,3912,3930,3991,esther
47,59.688567,56.68378570990831,0.20000399999999985,0.012702186189271103,0.16998200000000452,0.26488525426960646,3991,4008,4061,esther
48,60.408575,54.10231290756154,0.2500209999999967,0.013862845407024616,0.18998600000000465,0.5901645014338563,4061,4080,4135,esther
49,61.158587,54.84880482173659,0.24000699999999853,0.015680068194652258,0.20001700000000255,0.3465748658199052,4135,4155,4220,esther
50,62.01862,68.85410191236821,0.26000300000000465,0.014232194927866367,0.21003400000000028,0.7166051242432059,4220,4241,4315,esther
51,62.998565,68.83239027221316,0.2800050000000027,0.012203644195385381,0.20998399999999862,0.4788635742641378,4318,4339,4392,esther
52,63.838570999999995,43.36149793665206,0.19864700000000113,0.018910878060485126,0.14998299999999887,0.28673125866597093,4408,4423,4486,esther
53,64.658575,59.54314610462065,0.2600580000000008,0.008061498785378275,0.18999399999999866,0.5248237890700888,4486,4505,4572,esther
54,65.138582,8.049978968811885,0.10001299999998992,0.04596136231329802,0.14998900000000503,0.40003300514462903,4538,4553,4627,esther
55,65.50856999999999,72.23878110862238,0.27999499999999955,0.012458626601779396,0.1799999999999926,0.3816725865271598,4572,4590,4662,esther
56,66.408566,60.00604881711542,0.2700049999999976,0.01433192181376741,0.17999100000000112,0.49350511432693034,4662,4680,4746,esther
57,67.268568,53.65305290561036,0.21000800000000197,0.014351932617043497,0.19999900000000537,0.7603161337352065,4746,4766,4826,esther
58,68.03859299999999,39.40063382242541,0.25324299999999766,0.019542655163119416,0.17000099999999918,0.38630956970580094,4826,4843,4899,esther
59,68.80858599999999,68.00963829610845,0.25999900000000764,0.011174901367524113,0.2100189999999884,0.3609305358977407,4899,4920,4975,esther
60,69.568587,54.28656996743594,0.22997499999999604,0.012894607274320477,0.21001699999999346,0.7888948673223116,4975,4996,5046,esther
61,70.268591,83.39472095364431,0.24001799999999207,0.008993758734643434,0.20001200000000097,0.4928446868217521,5046,5066,5110,esther
62,71.01862299999999,31.12454727276046,0.2299989999999923,0.02313122802046614,0.260042999999996,0.974900148137865,5115,5141,5193,esther
63,71.73857199999999,71.80547425245342,0.20998799999999562,0.010862792957228582,0.20000699999999938,0.7390615865397236,5193,5213,5268,esther
64,72.51858,63.982227989151326,0.28997400000000084,0.011878626673157772,0.2299900000000008,1.275115828637384,5268,5291,5350,esther
65,73.278601,72.93370937687561,0.2700179999999932,0.011379964176937273,0.17002899999999954,0.3584281635827628,5350,5367,5432,esther
66,74.108584,65.54427297167595,0.27001499999998657,0.012205414199127917,0.18001199999999073,0.8147815977977634,5432,5450,5511,esther
67,74.908579,71.02527557817257,0.20997700000000918,0.010841154697844305,0.1900010000000094,0.5517621871369625,5511,5530,5587,esther
68,75.678575,51.584310444649965,0.2100200000000001,0.015508766000825262,0.1999890000000022,1.0082318016409206,5587,5607,5657,esther
69,76.478584,69.68472870289678,0.24887700000000734,0.010906277661498731,0.25999900000000764,0.8858495121969555,5661,5687,5731,esther
70,77.238585,63.96132641514251,0.22998400000000174,0.011882289542702072,0.26001200000000324,0.2882807895804394,5737,5763,5821,esther
71,77.998592,66.52816186396358,0.22999599999999987,0.01157391063313103,0.18001000000001,0.4086225180296274,5821,5839,5889,esther
